step,epoch
49,0
99,0
149,0
199,1
249,1
299,1
349,1
399,2
449,2
499,2
549,2
599,3
649,3
699,3
749,3
799,4
849,4
899,4
949,4
974,4
999,5
1049,5
1099,5
1149,5
1199,6
1249,6
1299,6
1349,6
1399,7
1449,7
1499,7
1549,7
1599,8
1649,8
1699,8
1749,8
1799,9
1849,9
1899,9
1949,9
1949,9
1999,10
2049,10
2099,10
2149,11
2199,11
2249,11
2299,11
2349,12
2399,12
2449,12
2499,12
2549,13
2599,13
2649,13
2699,13
2749,14
2799,14
2849,14
2899,14
2924,14
2949,15
2999,15
3049,15
3099,15
3149,16
3199,16
3249,16
3299,16
3349,17
3399,17
3449,17
3499,17
3549,18
3599,18
3649,18
3699,18
3749,19
3799,19
3849,19
3899,19
3899,19
3949,20
49,0
99,0
149,0
199,1
249,1
299,1
349,1
399,2
449,2
499,2
549,2
599,3
649,3
699,3
749,3
799,4
849,4
899,4
949,4
974,4
999,5
